Sampling_type,SiteName,siteID,site_group,SiteID,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
West,Belen,Bl_70,Bl,Belen_70,70,.,24.89,.,0.54,0.53,0,105.15,.
Center,Belen,Bl_71,Bl,Belen_71,71,.,33.24,.,0.46,0.34,0,160.56,.
Ditch,Belen,Bl_72,Bl,Belen_72,72,.,23.42,.,0.54,1.79,0,112.7,.
East,Belen,Bl_73,Bl,Belen_73,73,.,48.43,.,0.55,0.38,0,161.31,.
North,Belen,Bl_74,Bl,Belen_74,74,.,24.88,.,1.02,1.23,1.19,108.03,.
River,Belen,Bl_75,Bl,Belen_75,75,.,17.72,.,0.38,2.53,1.05,51.58,.
South,Belen,Bl_76,Bl,Belen_76,76,.,29.93,.,0.44,0.5,0,138.7,.
West,Belen,Bl_77,Bl,Belen_77,77,.,24.77,.,0.45,0.32,0,110.19,.
Center,Belen,Bl_78,Bl,Belen_78,78,0.8239,28.96,.,0.41,0,0.75,128.37,.
Ditch,Belen,Bl_79,Bl,Belen_79,79,1.1638,41.81,.,0.53,0,0,124.26,.
East,Belen,Bl_80,Bl,Belen_80,80,0.8559,28.62,.,0.52,0,0.78,120.06,.
North,Belen,Bl_81,Bl,Belen_81,81,0.6389,57.07,.,0.45,0,0,245.63,.
River,Belen,Bl_82,Bl,Belen_82,82,0.8109,37.54,.,0.45,0,0,152.42,.
South,Belen,Bl_83,Bl,Belen_83,83,0.9014,22.16,.,0.42,2.72,0,66.52,.
West,Belen,Bl_84,Bl,Belen_84,84,0.7533,30.11,.,0.4,0,0,125.73,.
Ditch,Belen,Bl_85,Bl,Belen_85,85,0.9351,32.231,0,0.394,1.2193,0.5876,122.87,
East well,Belen,Bl_86,Bl,Belen_86,86,0.8967,39.194,0,0.3224,0.1513,0,135.08,
North well,Belen,Bl_87,Bl,Belen_87,87,0.8796,51.176,0,0.445,0.2625,0,203.84,
River,Belen,Bl_88,Bl,Belen_88,88,0.9879,24.495,0,0.1936,3.8643,0.7831,69.51,
South well,Belen,Bl_89,Bl,Belen_89,89,0.9418,183.829,0,0.9227,0.8428,0,76.79,
West well,Belen,Bl_90,Bl,Belen_90,90,0.8521,59.323,0,0.4907,0.5872,0.5122,225.15,
Ditch,Belen,Bl_91,Bl,Belen_91,91,1.502,20.297,0,0,0.4188,0,70.2425,
East well,Belen,Bl_92,Bl,Belen_92,92,1.6434,57.677,0,0.2126,0,0,0,
North well,Belen,Bl_93,Bl,Belen_93,93,1.2375,50.777,0.1357,0,0,0,0,
River,Belen,Bl_94,Bl,Belen_94,94,1.2793,15.349,0,0,1.2019,0.7476,43.58,
South well,Belen,Bl_95,Bl,Belen_95,95,1.7338,100.147,0,0.3584,0,0,39.8861,
West well,Belen,Bl_96,Bl,Belen_96,96,1.5395,42.06,0,0.145,0,0.8136,0,
Ditch,Belen,Bl_97,Bl,Belen_97,97,0.54,20.77,0,0.55,1.54,0.92,87.15,
East well,Belen,Bl_98,Bl,Belen_98,98,0.3,59.21,0,0.17,0.08,0,149.04,
North well,Belen,Bl_99,Bl,Belen_99,99,0.37,122.51,0,0.29,0.09,0,323.75,
River,Belen,Bl_100,Bl,Belen_100,100,0.42,15.66,0,0,2.28,0.51,51.62,
South well,Belen,Bl_101,Bl,Belen_101,101,0.37,34.01,0,0.15,0.09,0,174.11,
West well,Belen,Bl_102,Bl,Belen_102,102,0.54,36.87,0,0.38,0.26,0.2,171.93,
Ditch,Belen,Bl_103,Bl,Belen_103,103,0.9174,31.57,0.3805,0.9462,1.9772,0.7852,129.0582,
East well,Belen,Bl_104,Bl,Belen_104,104,0.6831,55.94,0,0.7281,0.8399,0,219.1262,
North well,Belen,Bl_105,Bl,Belen_105,105,0,79.73,0,0.8312,0.8487,0,301.7373,
River,Belen,Bl_106,Bl,Belen_106,106,0.8495,28.45,0,0.8996,4.3338,1.4609,81.067,
South well,Belen,Bl_107,Bl,Belen_107,107,0,81.316,0,0.8247,0.858,0,367.3562,
West well,Belen,Bl_108,Bl,Belen_108,108,0.6749,58.117,0,0.726,0.8109,0.1632,249.4406,
Ditch,Belen,Bl_109,Bl,Belen_109,109,0.9014,24.642,1.3285,0.1901,2.0564,0.744,87.4197,
East well,Belen,Bl_110,Bl,Belen_110,110,1.0137,52.769,0,0.2235,1.7756,0,189.2367,
North well,Belen,Bl_111,Bl,Belen_111,111,0.8263,74.4,0,0.4069,1.4191,0,266,
River,Belen,Bl_112,Bl,Belen_112,112,0.8659,21.81,1.4438,0.3525,2.4026,0.8251,42.7136,
South well,Belen,Bl_113,Bl,Belen_113,113,0.9347,93.218,0,0.372,2.0081,0.5338,323.1889,
West well,Belen,Bl_114,Bl,Belen_114,114,0.9823,43.818,0,0.456,1.7541,0.6712,162.5958,
Ditch,Belen,Bl_115,Bl,Belen_115,115,0.5223,24.254,1.6303,1.2292,1.0837,0,126.909,
East well,Belen,Bl_116,Bl,Belen_116,116,0.328,89.96,0,0.7938,0.0929,0,251.7602,
North well,Belen,Bl_117,Bl,Belen_117,117,0.2054,78.517,0,0.3249,0,0,203.5271,
River,Belen,Bl_118,Bl,Belen_118,118,0.17,25.192,0,0.2254,1.185,0.6414,66.1444,
South well,Belen,Bl_119,Bl,Belen_119,119,0.3087,218.641,0,2.133,0.4104,0,678.2204,
West well,Belen,Bl_120,Bl,Belen_120,120,0.2104,87.392,0,0.3983,0.023,0,264.0633,
Center,BioPark,Bp_1,Bp,BioPark_1,1,.,38.38,.,0.29,0.02,0.02,138.21,0.06
East,BioPark,Bp_2,Bp,BioPark_2,2,.,18.46,.,0.14,0.02,0.04,86.1,0.03
North,BioPark,Bp_3,Bp,BioPark_3,3,.,23.1,.,0.22,0.02,0.06,127.93,0.05
South,BioPark,Bp_4,Bp,BioPark_4,4,.,14.66,.,0.05,0.02,0.04,98.61,0.06
West,BioPark,Bp_5,Bp,BioPark_5,5,.,28.42,.,0.28,0.01,0.01,107.85,0.04
Center,BioPark,Bp_6,Bp,BioPark_6,6,.,25.76,.,0.2,0.04,0.43,100.61,0.01
East,BioPark,Bp_7,Bp,BioPark_7,7,.,11.19,.,0.11,0.03,0.1,55.17,0
North,BioPark,Bp_8,Bp,BioPark_8,8,.,39.64,.,0.29,0.03,0.09,160.87,0.01
South,BioPark,Bp_9,Bp,BioPark_9,9,.,16.99,.,0.15,0.03,0.09,62.82,0.04
West,BioPark,Bp_10,Bp,BioPark_10,10,.,21.11,.,0.19,0.02,0.01,84.29,0.01
Center,BioPark,Bp_11,Bp,BioPark_11,11,.,24.04,.,0.25,0.03,0.03,87.62,0.12
East,BioPark,Bp_12,Bp,BioPark_12,12,.,10.11,.,0.1,0.03,0.06,67.39,0.06
North,BioPark,Bp_13,Bp,BioPark_13,13,.,45.98,.,0.47,0.02,0.04,116.47,0.11
South,BioPark,Bp_14,Bp,BioPark_14,14,.,7.92,.,0.1,0.09,0.06,72.31,0.31
West,BioPark,Bp_15,Bp,BioPark_15,15,.,26.7,.,0.23,0.03,0.02,93.56,0.23
Center,BioPark,Bp_16,Bp,BioPark_16,16,.,12.32,.,0.17,0.05,0.06,50.77,0.08
East,BioPark,Bp_17,Bp,BioPark_17,17,.,7.51,.,0.06,0.07,0.07,53.6,0.02
North,BioPark,Bp_18,Bp,BioPark_18,18,.,22.41,.,0.17,0.11,0.07,64.65,0.05
South,BioPark,Bp_19,Bp,BioPark_19,19,.,9.02,.,0.13,0.05,0.04,37.34,0.35
West,BioPark,Bp_20,Bp,BioPark_20,20,.,13.32,.,0.09,0.04,0.02,45.22,0.23
Center,BioPark,Bp_21,Bp,BioPark_21,21,.,18.96,.,0.12,0.11,0.03,66.25,0.07
East,BioPark,Bp_22,Bp,BioPark_22,22,.,13.66,.,0.03,0.04,0.02,54.97,0.03
North,BioPark,Bp_23,Bp,BioPark_23,23,.,14.31,.,0.09,0.08,0.04,36.13,0.05
South,BioPark,Bp_24,Bp,BioPark_24,24,.,15.25,.,0.04,0.03,0.01,70.12,0.21
West,BioPark,Bp_25,Bp,BioPark_25,25,.,18.82,.,0.1,0.06,0.01,62.94,0.13
Center,BioPark,Bp_26,Bp,BioPark_26,26,.,17.07,.,0.06,0.03,0.01,72.88,0.1
East,BioPark,Bp_27,Bp,BioPark_27,27,.,13.76,.,0.04,0.03,0.02,55.69,0.03
North,BioPark,Bp_28,Bp,BioPark_28,28,.,16.47,.,0.09,0.06,0.05,38.7,0.06
South,BioPark,Bp_29,Bp,BioPark_29,29,.,14.69,.,0.03,0.03,0.03,67.77,0.25
West,BioPark,Bp_30,Bp,BioPark_30,30,.,19.86,.,0.14,0.04,0.01,67.63,0.18
Center,BioPark,Bp_31,Bp,BioPark_31,31,.,17.25,.,0.14,0.03,0.03,62.59,0.09
East,BioPark,Bp_32,Bp,BioPark_32,32,.,13.37,.,0.06,0.08,0.05,52.14,0.02
North,BioPark,Bp_33,Bp,BioPark_33,33,.,17.48,.,0.28,0.06,0.07,35.25,0.09
South,BioPark,Bp_34,Bp,BioPark_34,34,.,13.81,.,0.05,0.07,0.02,61.43,0.2
West,BioPark,Bp_35,Bp,BioPark_35,35,.,22.18,.,0.11,0.05,0,71.1,0.2
Center,BioPark,Bp_36,Bp,BioPark_36,36,.,17.51,.,0.81,0.89,0,48.33,.
East,BioPark,Bp_37,Bp,BioPark_37,37,.,11.04,.,0.6,0.57,0,53.86,.
North,BioPark,Bp_38,Bp,BioPark_38,38,.,15.24,.,0.65,0.57,0,37.47,.
South,BioPark,Bp_39,Bp,BioPark_39,39,.,18.59,.,0.42,1.79,0,119.44,.
West,BioPark,Bp_40,Bp,BioPark_40,40,.,11.64,.,0.65,0.63,0,57.93,.
Center,BioPark,Bp_41,Bp,BioPark_41,41,.,20.35,.,0.67,0.41,0,75.49,.
East,BioPark,Bp_42,Bp,BioPark_42,42,.,12.88,.,0.49,0.39,0,44.68,.
North,BioPark,Bp_43,Bp,BioPark_43,43,.,22.46,.,0.48,0.34,0,14.57,.
South,BioPark,Bp_44,Bp,BioPark_44,44,.,10.88,.,0.61,0.46,0,71.2,.
West,BioPark,Bp_45,Bp,BioPark_45,45,.,27.35,.,0.62,0.44,0,115.92,.
Center,BioPark,Bp_46,Bp,BioPark_46,46,1.3073,16.3,.,0.61,0.32,0,64.51,.
East,BioPark,Bp_47,Bp,BioPark_47,47,0.8871,9.75,.,0.4,0,0,35.87,.
North,BioPark,Bp_48,Bp,BioPark_48,48,1.6219,29.91,.,0.45,0,0,25.54,.
South,BioPark,Bp_49,Bp,BioPark_49,49,1.3605,10.51,.,0.59,0.2,0,23.94,.
West,BioPark,Bp_50,Bp,BioPark_50,50,1.3354,27.5,.,0.72,0.21,0,124.42,.
Center,Bobcat,Bc_1,Bc,Bobcat_1,1,.,10.23,.,0.05,0.01,0.08,50.51,0.01
Ditch,Bobcat,Bc_2,Bc,Bobcat_2,2,.,15.92,.,0.07,0.01,0.04,58.1,0.02
East,Bobcat,Bc_3,Bc,Bobcat_3,3,.,9.32,.,0.04,0.02,0.07,42.46,0.06
North,Bobcat,Bc_4,Bc,Bobcat_4,4,.,9.75,.,0.04,0.01,0.03,47.65,0.04
River,Bobcat,Bc_5,Bc,Bobcat_5,5,.,10.06,.,0.05,0.09,0.07,40.82,0.01
South,Bobcat,Bc_6,Bc,Bobcat_6,6,.,7.71,.,0.05,0.01,0.04,41.7,0.01
West,Bobcat,Bc_7,Bc,Bobcat_7,7,.,9.28,.,0.04,0.01,0.08,49.07,0.02
Center,Bobcat,Bc_8,Bc,Bobcat_8,8,.,12.12,.,0.04,0.11,0.04,40.07,0
Ditch,Bobcat,Bc_9,Bc,Bobcat_9,9,.,16.17,.,0.04,0.03,0.03,59.3,0.04
East,Bobcat,Bc_10,Bc,Bobcat_10,10,.,12.62,.,0.02,0.1,0.05,35.7,0.06
North,Bobcat,Bc_11,Bc,Bobcat_11,11,.,11.86,.,0,0.1,0.04,38.68,0.03
River,Bobcat,Bc_12,Bc,Bobcat_12,12,.,13.51,.,0.05,0.12,0.06,39.18,0.02
South,Bobcat,Bc_13,Bc,Bobcat_13,13,.,10.03,.,0.05,0.02,0.03,48.49,0.01
West,Bobcat,Bc_14,Bc,Bobcat_14,14,.,11.54,.,0.03,0.02,0,39.84,0.02
Center,Bobcat,Bc_15,Bc,Bobcat_15,15,.,7.66,.,0.02,0.09,0.03,25.31,0.01
Ditch,Bobcat,Bc_16,Bc,Bobcat_16,16,.,15.03,.,0.03,0.03,0.04,48.8,0.04
East,Bobcat,Bc_17,Bc,Bobcat_17,17,.,8.3,.,0.02,0.01,0.05,30.44,0.05
North,Bobcat,Bc_18,Bc,Bobcat_18,18,.,8.91,.,0.05,0.05,0.05,35.63,0.02
River,Bobcat,Bc_19,Bc,Bobcat_19,19,.,6.45,.,0.02,0.04,0.13,39.67,0.01
South,Bobcat,Bc_20,Bc,Bobcat_20,20,.,3.05,.,0.02,0,0.01,9.61,0.03
West,Bobcat,Bc_21,Bc,Bobcat_21,21,.,4.78,.,0.02,0.02,0.03,11.68,0.02
Center,Bobcat,Bc_22,Bc,Bobcat_22,22,.,10.68,.,0.05,0.02,0.05,55.91,0
Ditch,Bobcat,Bc_23,Bc,Bobcat_23,23,.,14.65,.,0.08,0.02,0.04,55.75,0
East,Bobcat,Bc_24,Bc,Bobcat_24,24,.,13.98,.,0.08,0.02,0.05,89.08,0
North,Bobcat,Bc_25,Bc,Bobcat_25,25,.,13.83,.,0.08,0.02,0.05,86.85,0
River,Bobcat,Bc_26,Bc,Bobcat_26,26,.,13.73,.,0.06,0.25,0.11,48.33,0
South,Bobcat,Bc_27,Bc,Bobcat_27,27,.,10.58,.,0.06,0.02,0.02,66.59,0
West,Bobcat,Bc_28,Bc,Bobcat_28,28,.,9.62,.,0.05,0.03,0.03,57.69,0
Center,Bobcat,Bc_29,Bc,Bobcat_29,29,.,10.79,.,0.07,0.02,0.1,48.72,0
Ditch,Bobcat,Bc_30,Bc,Bobcat_30,30,.,15.94,.,0.08,0.02,0.03,57.45,0.02
East,Bobcat,Bc_31,Bc,Bobcat_31,31,.,11.2,.,0.06,0.15,0.08,41.21,0.03
North,Bobcat,Bc_32,Bc,Bobcat_32,32,.,13.18,.,0.06,0.03,0.06,57.46,0.04
River,Bobcat,Bc_33,Bc,Bobcat_33,33,.,7.87,.,0.03,0.11,0.03,35.07,0.02
South,Bobcat,Bc_34,Bc,Bobcat_34,34,.,11.66,.,0.08,0.02,0.05,54.65,0
West,Bobcat,Bc_35,Bc,Bobcat_35,35,.,9.99,.,0.06,0.01,0.08,49.94,0.01
Center,Bobcat,Bc_36,Bc,Bobcat_36,36,.,16.6,.,0.06,0.24,0.02,46.57,0
Ditch,Bobcat,Bc_37,Bc,Bobcat_37,37,.,14.3,.,0.08,0.09,0.03,54.9,0
East,Bobcat,Bc_38,Bc,Bobcat_38,38,.,17.74,.,0.06,0.23,0.04,44.11,0.01
North,Bobcat,Bc_39,Bc,Bobcat_39,39,.,15.23,.,0.04,0.06,0.01,45.49,0.02
River,Bobcat,Bc_40,Bc,Bobcat_40,40,.,12.99,.,0.05,0.04,0.01,39.92,0.01
South,Bobcat,Bc_41,Bc,Bobcat_41,41,.,12.04,.,0.04,0.02,0.01,42.51,0.01
West,Bobcat,Bc_42,Bc,Bobcat_42,42,.,15.74,.,0.05,0.04,0.02,47.19,0.01
Center,Bobcat,Bc_43,Bc,Bobcat_43,43,.,9.49,.,2.11,0.09,0.11,48.47,0
Ditch,Bobcat,Bc_44,Bc,Bobcat_44,44,.,15.63,.,2.15,0.04,0.06,58.59,0
East,Bobcat,Bc_45,Bc,Bobcat_45,45,.,8.81,.,0.09,0.05,0.08,44.93,0.01
North,Bobcat,Bc_46,Bc,Bobcat_46,46,.,8.87,.,0.07,0.07,0.08,44.91,0.01
River,Bobcat,Bc_47,Bc,Bobcat_47,47,.,9.54,.,1.5,0.1,0.06,46.07,0
South,Bobcat,Bc_48,Bc,Bobcat_48,48,.,10.72,.,0.04,0.06,0.06,56.69,0.01
West,Bobcat,Bc_49,Bc,Bobcat_49,49,.,14.89,.,0.26,0.04,0.04,68.05,0
Center,Bobcat,Bc_50,Bc,Bobcat_50,50,.,2.85,.,0.02,0.05,0.06,29.75,0
Ditch,Bobcat,Bc_51,Bc,Bobcat_51,51,.,12.51,.,0.07,0.03,0.06,46.64,0
East,Bobcat,Bc_52,Bc,Bobcat_52,52,.,4.02,.,0.03,0.04,0.05,27.58,0
North,Bobcat,Bc_53,Bc,Bobcat_53,53,.,3.27,.,0.03,0,0.05,29.9,0
River,Bobcat,Bc_54,Bc,Bobcat_54,54,.,4.49,.,0.02,0.05,0.02,37.3,0
South,Bobcat,Bc_55,Bc,Bobcat_55,55,.,3.34,.,0.04,0.03,0.03,30.38,0
West,Bobcat,Bc_56,Bc,Bobcat_56,56,.,3.02,.,0.03,0.03,0.04,29.58,0
Center,Bobcat,Bc_57,Bc,Bobcat_57,57,.,8.6,.,0.06,0.08,0.06,42.39,0
Ditch,Bobcat,Bc_58,Bc,Bobcat_58,58,.,12.24,.,0.04,0.09,0.03,50.63,0
East,Bobcat,Bc_59,Bc,Bobcat_59,59,.,8.99,.,0.04,0.07,0.04,40.45,0.01
North,Bobcat,Bc_60,Bc,Bobcat_60,60,.,8.12,.,0.06,0.04,0.05,38.4,0.01
River,Bobcat,Bc_61,Bc,Bobcat_61,61,.,11.08,.,0.05,0.19,0.05,43.72,0
South,Bobcat,Bc_62,Bc,Bobcat_62,62,.,7.36,.,0.03,0.05,0.02,40.96,0
West,Bobcat,Bc_63,Bc,Bobcat_63,63,.,6.85,.,0.04,0.06,0.05,37.77,0
Center,Bobcat,Bc_64,Bc,Bobcat_64,64,.,11.53,.,0.04,0.28,0.05,38.88,0.03
Ditch,Bobcat,Bc_65,Bc,Bobcat_65,65,.,11.88,.,0.03,0.08,0.05,44.72,0.07
East,Bobcat,Bc_66,Bc,Bobcat_66,66,.,5.35,.,0.02,0.21,0.05,27.83,0.03
North,Bobcat,Bc_67,Bc,Bobcat_67,67,.,8.81,.,0.03,0.12,0.03,34.15,0.01
River,Bobcat,Bc_68,Bc,Bobcat_68,68,.,4.86,.,0,0.23,0.02,31.3,0.03
South,Bobcat,Bc_69,Bc,Bobcat_69,69,.,10.22,.,0.02,0.07,0.01,38.03,0.02
West,Bobcat,Bc_70,Bc,Bobcat_70,70,.,10.22,.,0.06,0.13,0.05,37.29,0.01
Center,Bobcat,Bc_71,Bc,Bobcat_71,71,.,4.6,.,0.01,0.2,0.07,30.93,0
Ditch,Bobcat,Bc_72,Bc,Bobcat_72,72,.,11.97,.,0.02,0.05,0.05,44.71,0.01
East,Bobcat,Bc_73,Bc,Bobcat_73,73,.,4.71,.,0.01,0.23,0.07,30.77,0.01
North,Bobcat,Bc_74,Bc,Bobcat_74,74,.,4.36,.,0.01,0.06,0.07,31.72,0.01
River,Bobcat,Bc_75,Bc,Bobcat_75,75,.,5.55,.,0.02,0.15,0.02,46.51,0.02
South,Bobcat,Bc_76,Bc,Bobcat_76,76,.,6.23,.,0.04,0.04,0.05,33.74,0.01
West,Bobcat,Bc_77,Bc,Bobcat_77,77,.,5.67,.,0.01,0.09,0.04,32.93,0
Center,Bobcat,Bc_78,Bc,Bobcat_78,78,.,4.37,.,0.02,0.08,0.06,42.09,0.02
Ditch,Bobcat,Bc_79,Bc,Bobcat_79,79,.,10.55,.,0.05,0.06,0.05,42.68,0.04
East,Bobcat,Bc_80,Bc,Bobcat_80,80,.,5.07,.,0.02,0.04,0.02,44.23,0.05
North,Bobcat,Bc_81,Bc,Bobcat_81,81,.,5.19,.,0.03,0.07,0.07,48.32,0.03
River,Bobcat,Bc_82,Bc,Bobcat_82,82,.,6.29,.,0.02,0.09,0.04,50.94,0.03
South,Bobcat,Bc_83,Bc,Bobcat_83,83,.,5.07,.,0.02,0.03,0.02,38.96,0.02
West,Bobcat,Bc_84,Bc,Bobcat_84,84,.,4.05,.,0.02,0.07,0.04,33.47,0.01
Center,Bobcat,Bc_85,Bc,Bobcat_85,85,.,11.29,.,0.42,1.54,0,43.01,.
Ditch,Bobcat,Bc_86,Bc,Bobcat_86,86,.,10.24,.,0.39,0.5,0,49.37,.
East,Bobcat,Bc_87,Bc,Bobcat_87,87,.,8.81,.,0.4,0.54,0,40.68,.
North,Bobcat,Bc_88,Bc,Bobcat_88,88,.,11.15,.,0.39,0.69,0,41.99,.
River,Bobcat,Bc_89,Bc,Bobcat_89,89,.,9.06,.,0.37,0.58,0,43.2,.
South,Bobcat,Bc_90,Bc,Bobcat_90,90,.,11.42,.,0.59,0.58,0,46.27,.
West,Bobcat,Bc_91,Bc,Bobcat_91,91,.,11.18,.,0.42,1.15,0,43.62,.
Center,Bobcat,Bc_92,Bc,Bobcat_92,92,.,5.62,.,0.58,0.37,0,43.4,.
Ditch,Bobcat,Bc_93,Bc,Bobcat_93,93,.,10.28,.,0.46,0.38,0,34.19,.
East,Bobcat,Bc_94,Bc,Bobcat_94,94,.,5.06,.,0,0.46,0,36.83,.
North,Bobcat,Bc_95,Bc,Bobcat_95,95,.,5.14,.,0,0.54,0,37.47,.
River,Bobcat,Bc_96,Bc,Bobcat_96,96,.,4.17,.,0,0.39,0,39.37,.
South,Bobcat,Bc_97,Bc,Bobcat_97,97,.,5.1,.,0,0.32,0,38.92,.
West,Bobcat,Bc_98,Bc,Bobcat_98,98,.,5.06,.,0,0.36,0,44.01,.
Center,Bobcat,Bc_99,Bc,Bobcat_99,99,0.7025,9.8,.,0.33,0,0,51.78,.
Ditch,Bobcat,Bc_100,Bc,Bobcat_100,100,0.6028,9.47,.,0,0,0,46.67,.
East,Bobcat,Bc_101,Bc,Bobcat_101,101,0.3449,4.35,.,0,0,0,21.34,.
North,Bobcat,Bc_102,Bc,Bobcat_102,102,0.7884,9.67,.,0.43,0,0,52.86,.
River,Bobcat,Bc_103,Bc,Bobcat_103,103,0.5976,9.32,.,0,0,0,51.45,.
South,Bobcat,Bc_104,Bc,Bobcat_104,104,0.6309,7.2,.,0,0,0,45.46,.
West,Bobcat,Bc_105,Bc,Bobcat_105,105,0.7911,11.26,.,0,0,0,49.66,.
East well,Bobcat,Bc_106,Bc,Bobcat_106,106,.,.,.,.,.,.,.,
North well,Bobcat,Bc_107,Bc,Bobcat_107,107,.,.,.,.,.,.,.,
South well,Bobcat,Bc_108,Bc,Bobcat_108,108,.,.,.,.,.,.,.,
West well,Bobcat,Bc_109,Bc,Bobcat_109,109,.,.,.,.,.,.,.,
East well,Bobcat,Bc_110,Bc,Bobcat_110,110,1.4226,13.803,0,0.0762,0.8655,0,42.4218,
North well,Bobcat,Bc_111,Bc,Bobcat_111,111,1.1554,11.478,0,0,0,0,49.3639,
South well,Bobcat,Bc_112,Bc,Bobcat_112,112,1.1491,9.162,0,0.0401,0.0939,0,49.4996,
West well,Bobcat,Bc_113,Bc,Bobcat_113,113,1.126,9.971,0,0,0,0.9857,47.4656,
East well,Bobcat,Bc_114,Bc,Bobcat_114,114,0.3533,6.8429,0,0.1237,0.0702,0,54.4053,
North well,Bobcat,Bc_115,Bc,Bobcat_115,115,0.4529,6.7393,0,0.0789,0.1141,0.09,46.0504,
South well,Bobcat,Bc_116,Bc,Bobcat_116,116,9.9726,34.2539,1.8557,3.6983,0,0,42.4046,
West well,Bobcat,Bc_117,Bc,Bobcat_117,117,0.4365,6.6874,0,0,0.3271,0,46.2189,
East well,Bobcat,Bc_118,Bc,Bobcat_118,118,0.4875,39.31,0,0.844,1.2996,0.4073,223,
North well,Bobcat,Bc_119,Bc,Bobcat_119,119,0.5356,16.46,0.0962,0.6594,1.0005,0,86.5,
South well,Bobcat,Bc_120,Bc,Bobcat_120,120,0.6017,8.46,0,0.7855,1.0953,0,55.91,
West well,Bobcat,Bc_121,Bc,Bobcat_121,121,0.5567,9.2,0,0.8677,1.4582,0.6596,57.32,
Center well,Bosque Farms,Bf_1,Bf,BosqueFarms_1,1,0.6974,12.572,0,0.0365,0,0.4079,40.1912,
Ditch,Bosque Farms,Bf_2,Bf,BosqueFarms_2,2,0.8852,30.844,0.15,0,1.8998,0.7076,84.8195,
East well,Bosque Farms,Bf_3,Bf,BosqueFarms_3,3,0.8369,21.478,0,0,0,0.3761,79.0962,
North well,Bosque Farms,Bf_4,Bf,BosqueFarms_4,4,0.8659,26.69,0,0.3891,0.849,0.6781,81.1955,
River,Bosque Farms,Bf_5,Bf,BosqueFarms_5,5,0.993,26.25,0.5219,0.121,4.8654,1.0095,70.3266,
South well,Bosque Farms,Bf_6,Bf,BosqueFarms_6,6,1.0218,28.449,0,0.5295,0.6986,0.99,90.5082,
West well,Bosque Farms,Bf_7,Bf,BosqueFarms_7,7,0.921,31.956,0,0.28,0.2621,0.3721,81.82,
Center well,Bosque Farms,Bf_8,Bf,BosqueFarms_8,8,0.9242,74.162,0,0.5316,0.6585,0,0,
Ditch,Bosque Farms,Bf_9,Bf,BosqueFarms_9,9,1.0331,26.932,0,0.658,1.4309,1.6796,83.0743,
East well,Bosque Farms,Bf_10,Bf,BosqueFarms_10,10,0.8588,30.619,0,0.342,0.7589,0,85.4817,
North well,Bosque Farms,Bf_11,Bf,BosqueFarms_11,11,0.9385,31.807,0,0.5143,0.8968,0,66.8988,
River,Bosque Farms,Bf_12,Bf,BosqueFarms_12,12,0.8611,15.685,0,0.188,2.7241,1.1021,44.4166,
South well,Bosque Farms,Bf_13,Bf,BosqueFarms_13,13,1.014,25.885,0,0.3975,0.8513,1.139,61.1434,
West well,Bosque Farms,Bf_14,Bf,BosqueFarms_14,14,0.9459,24.693,0,0.403,0.6835,0,52.0231,
Center well,Bosque Farms,Bf_15,Bf,BosqueFarms_15,15,0.7028,21.2872,0,0.3876,0.2816,0.3283,50.4261,
Ditch,Bosque Farms,Bf_16,Bf,BosqueFarms_16,16,0.4514,27.2872,0,0.1035,0.1441,0.3007,88.2454,
East well,Bosque Farms,Bf_17,Bf,BosqueFarms_17,17,0.6736,32.43,0,0.5006,0.5988,0.2653,63.9478,
North well,Bosque Farms,Bf_18,Bf,BosqueFarms_18,18,0.6736,29.6192,0,0.5552,0.6149,0.284,67.6193,
River,Bosque Farms,Bf_19,Bf,BosqueFarms_19,19,0.5888,32.4486,0.4893,0.0658,2.7266,0,110.7443,
South well,Bosque Farms,Bf_20,Bf,BosqueFarms_20,20,0.8426,27.4993,0,0.5533,0.9083,1.1442,47.0262,
West well,Bosque Farms,Bf_21,Bf,BosqueFarms_21,21,0.7538,15.1995,0,0.4655,0.5245,0.4544,34.8428,
Center well,Bosque Farms,Bf_22,Bf,BosqueFarms_22,22,0.8789,22.214,0,0.9361,1.4131,0.6916,72.6291,
Ditch,Bosque Farms,Bf_23,Bf,BosqueFarms_23,23,0.8585,31.853,0.3485,0.9058,4.0315,1.1873,86.8844,
East well,Bosque Farms,Bf_24,Bf,BosqueFarms_24,24,0.8012,17.362,0.222,0.9131,1.3893,0.6868,57.196,
North well,Bosque Farms,Bf_25,Bf,BosqueFarms_25,25,0.8403,17.666,0.2086,0.878,1.3194,0.3993,51.5388,
River,Bosque Farms,Bf_26,Bf,BosqueFarms_26,26,.,.,.,.,.,.,.,
South well,Bosque Farms,Bf_27,Bf,BosqueFarms_27,27,0.8339,32.115,0.3236,0.8872,5.4765,2.0867,75.773,
West well,Bosque Farms,Bf_28,Bf,BosqueFarms_28,28,0.798,29.284,0,0.9671,1.4915,1.2094,67.475,
Center well,Bosque Farms,Bf_29,Bf,BosqueFarms_29,29,0.8778,28.789,0,0.1446,1.4233,0,48.8821,
Ditch,Bosque Farms,Bf_30,Bf,BosqueFarms_30,30,0.6998,26.188,0.6787,0.5029,0.552,0.7556,80.1298,
